TREAMENT,TREATEMENT_PERIOD,NODE,DEGREE,DEGREE_NORMALIZED,EIGENVECTOR,CLOSENESS_CENTRALITY,BETWEENNESS_CENTRALITY
C4,1,HM,11,0.379310345,0.189713978,0.58,0.02497559
C4,1,HX,9,0.310344828,0.116151334,0.591836735,0.051021652
C4,1,SA,11,0.379310345,0.236408536,0.604166667,0.015546691
C4,1,SC,5,0.172413793,0.107305888,0.537037037,0.003389632
C4,1,SE,11,0.379310345,0.200320211,0.604166667,0.031452271
C4,1,SK,14,0.482758621,0.267249909,0.659090909,0.047863614
C4,1,SL,12,0.413793103,0.255592633,0.630434783,0.02345736
C4,1,ST,15,0.517241379,0.272870718,0.674418605,0.070709573
C4,1,SU,9,0.310344828,0.173775196,0.591836735,0.015770318
C4,1,HD,13,0.448275862,0.271839878,0.644444444,0.029965015
C4,1,HK,11,0.379310345,0.232477671,0.617021277,0.025333022
C4,1,HE,16,0.551724138,0.257629652,0.69047619,0.120570717
C4,1,HL,12,0.413793103,0.227855772,0.630434783,0.03886167
